지역,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,
청주시,6.5,6.6,7.2,7.5,7.5,7.5,7.3,7.2,7.3,6.9,6.8,6.9,6.8,6.9,7,7.4,7.7,7.6,7.7,7.4,7,6.9,6.5,6.5,6.6,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.1,6,6,6,6,5.8,5.8,5.3,5.3,5.3,5.5,5.3,5.4,
흥덕구,7.1,7.1,7,6.9,7.1,7.1,7.1,7,6.9,6.9,6.9,6.9,6.9,7,7,6.8,6.6,6.7,6.7,6.8,6.4,6.7,6.7,6.7,7,6.8,6.9,6.4,6.4,6.7,6.2,6.1,6,6.1,6.2,6.1,6,6,5.7,5.4,5.3,5.3,5.3,5.4,5.5,5.6,5.9,6,6,6,
충주시,8.5,8.3,8.4,9,8.9,9,9.1,9.3,9.1,8.6,8.9,9.6,9.6,8.7,8.8,8.6,8,8,7.9,8,8,8.1,8,7.9,7.5,7.5,7.4,7.5,7.9,7.6,7.7,7.7,7.5,7.6,7.5,7.4,7.4,7.3,7.3,7.7,7.4,7.3,7.2,6.9,7,6.8,6.4,6.4,6.4,6.4,
충남,9.4,9.2,9,8.9,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.4,8.6,8,8,7.7,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.2,7.2,7.2,7.2,7.1,7,7,6.9,7,7,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.3,6.3,6.2,6.3,6.1,6.2,6.2,6.3,
천안시,8.2,8.3,8.1,7.9,7.9,8,8,8,8,8,7.7,7.6,7.6,7.4,7.5,7.3,7,7.2,7,7,7,7.1,6.9,6.8,7,6.8,6.7,6.7,6.7,6.7,6.5,6.7,6.7,6.7,6.7,6.3,6.3,6.3,6.3,6,6,6,6,6,6,6,6,6.1,6.1,6.3,
동남구,9,9,9,8.5,8.5,8.8,8.6,8.4,8.3,8.3,8.1,7.9,8,7.6,7.8,7.6,7.2,7.5,7.2,7.2,7.2,7.2,7.2,7,7.1,6.8,6.8,6.7,6.6,6.5,6.5,6.6,6.5,6.5,6.5,6.3,6.2,6.3,6.3,6.3,6.1,6.2,6.3,6.2,6,6,6,6,6.2,6.5,
서북구,7.2,7.4,7.2,7,7,7,7.2,7.3,7.4,7.4,7.4,7.2,7.2,6.9,6.9,6.8,6.9,6.8,6.8,6.8,6.9,6.9,6.8,6.7,6.8,6.7,6.5,6.8,6.8,6.8,6.6,6.7,6.8,6.9,6.9,6.3,6.4,6.4,6.3,6,6,6,6,6,6,6,6,6.2,6.1,6.1,
공주시,10.3,10.3,10.3,9.9,10.3,9.4,9.7,9,9.3,9.1,9.4,9.9,10.1,9.5,10.3,10,10,9.4,9.1,8.8,8.3,8.4,9,9.1,9,8.9,9,8.8,8.4,8.4,8.5,8.6,8,7.8,8,7.7,7.8,7.9,7.7,7.4,8,8.3,8,8.4,8.6,8.3,8.7,8.1,8,8.3,
아산시,9.3,9,8.7,9,8.4,8.5,8.2,8,8.2,8,8.1,8,8,7.8,7.3,7.2,7.1,7.1,7.1,7.1,7.2,7.2,7,7.2,7.2,7,7,7,7.1,6.9,6.9,6.8,6.8,6.7,6.7,6.7,6.3,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.2,6.1,6.1,
전북,7.9,8,7.7,7.8,7.6,8,8,7.4,7.4,7.2,7.2,7.1,7.3,7.7,7.6,7.6,7.5,7.6,7.6,7.6,7.6,7.6,7.4,7.4,7.4,6.9,6.7,6.6,6.9,7,7.1,7.4,7.4,7.4,7.4,7.4,7.4,6.7,6.5,6.5,6.4,6.4,6.4,6.5,6.2,6.2,6.2,6.1,6,6,
전주시,8.1,8,8,8,7.7,7.5,7.5,7.4,7.4,7.3,7.2,7.1,7.1,7.1,7,7,6.9,7,6.9,6.9,6.9,6.9,6.5,6.4,6.2,6.1,6.1,6.1,6.1,6.4,6.3,6.3,6.4,6.4,6.3,6.1,6,6,6,6,6,6,6,6,6,6,6,5.7,5.6,5.6,
완산구,8,8,8,8,7.7,7.8,7.5,7.2,7.2,7.1,7,6.9,6.9,7,7,6.9,6.8,6.9,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.5,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.1,6,6,5.9,6,6,6,6,6,6,6,6,5.7,5.5,5.5,
덕진구,8.4,8.3,8,8,7.8,7.4,7.5,7.5,7.5,7.4,7.4,7.4,7.3,7.2,7.1,7,7,7.2,7.2,7.1,7.1,7.3,6.3,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.3,6.4,6.2,6.1,6,6,6.1,6.2,6,6,6,6.3,6.3,6.3,6,5.6,5.6,5.6,
군산시,6,6,6,6,6,7.3,7.2,6.9,6.9,6.9,6.9,6.9,7.1,7.1,7.2,7.2,7.2,7.3,7.3,7.6,7.5,7.6,7.5,7.4,7.4,6.7,6.7,6.6,6.7,6.6,7,7.4,7.4,7.4,7.4,7.4,7.4,6.5,6.5,6.3,6,6,6,6,5.8,6,6,6,6,6,
익산시,8.4,8.7,8.3,8.4,8.4,8,7.9,8,8,8,8,8,8.4,8,8.1,8,8.2,8,7.6,7.6,7.4,7.4,7.2,7.2,7,7,7.2,6.9,7,7.2,7.2,7.5,7.5,7.2,7.2,7.1,7.1,7,6.8,6.7,6.9,6.9,6.8,7.5,5.8,6,6,6,6,6,
전남,10.4,10.5,10,10.4,10.8,11.2,11.1,10.2,10.1,9.6,9.6,9.6,9.7,9.9,10,10.2,10.1,9.5,9.2,8.5,8,7.7,7.6,7.6,7.8,7.8,8.3,8.1,8,7.9,7.9,7.8,7.6,7.5,7.4,7.2,7.4,7.2,7.3,7.5,7,7,7.5,7.6,7.6,7.9,7.6,7.5,7.3,6.9,
목포시,9.1,9,8.7,8.9,9.3,9.4,9.4,10.4,9.4,8.8,8.6,8.7,9.1,9,8.9,9,10.4,8.5,8.7,8.3,8.4,8.3,8.7,8.3,8.6,8.9,8.9,8.9,8.9,8.9,9,9,8.9,8.9,8.6,8.6,8.4,8.3,8,8.3,8,7.9,8,8,7.9,8.2,8.5,8.1,8,7.6,
광양시,10,9.6,9.3,9.5,9.3,9.3,8.7,8.4,8,8,7.5,7.5,8,8,8,8,7.7,8.5,7.5,7.6,7.6,7.6,7.6,7.6,7.5,7.4,7.6,7.3,7.5,7.4,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.3,7.6,7.6,7.6,8,7.6,7.6,7.6,7.5,7.5,7.3,6.2,
경북,10,10.4,10.3,10.3,10.3,10.3,10,9.7,9.8,9.3,9.3,9.7,9.9,9.2,8.8,8.6,8.6,8.5,8.6,8.7,8.7,8.5,8.4,8.4,8,8,7.5,7.4,7.2,7.3,7.1,7.1,7,6.9,6.5,6.3,6.3,6.1,6.1,6,6.3,6.2,6.4,6,6,5.9,5.7,5.7,5.9,5.6,
포항시,8,8.3,8,8,8,8,8.1,8.1,8.2,8,8,8,8,8,8,7.8,8,8,8.6,8.7,8.8,8.7,8,8,8,8,7.7,8,8,8,8,8,8,8,8,8,8,8,7.4,8,8,8,7.7,8,8,8,8,7.9,7.8,7.8,
북구,6.9,7.1,7,6.9,7.2,7.1,7.2,7.2,7.4,7,6.9,6.8,6.8,6.5,6.4,6.5,6.3,6.4,6.4,6.1,6.3,6.3,6.1,6.1,6.1,6.2,6,6.2,6,6.1,6,5.7,5.6,5.6,5.5,5.3,5.4,5.3,5.3,5.5,5.6,5.6,5.4,5.1,4.9,4.9,4.8,4.9,5.2,5,
구미시,10.9,11.7,10.8,10.7,9.5,9,8.7,8.7,8.4,8,8.3,8.8,9,8.3,8,8,7.9,7.6,7.5,7,7.2,7,8.2,9,8.4,8,6.6,6.3,6.1,6,6,6.1,6.2,6,5.5,5.5,5.6,5.6,5.5,5.5,5.4,5.3,5,5.2,5.1,5.3,5.4,5.5,5.6,5.6,
경남,7.5,7.5,7.3,7.3,7.3,7.2,7.3,7.3,7.2,7.2,7.2,7.1,7,7,7,7,6.9,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.2,6,6.1,6.1,6,6,6,6,6,6,6,6,6,6,5.8,5.8,5.7,5.5,5.5,5.6,5.5,5.3,5.3,5.2,
창원시,6.9,6.8,6.7,6.8,6.8,6.7,6.7,6.7,6.6,6.6,6.7,6.5,6.6,6.6,6.6,6.4,6.3,6.3,6.3,6.2,6.1,6,6,6,6,6,6,6,5.8,5.7,5.8,5.7,5.5,5.6,5.5,5.6,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.1,5.1,5.1,5.1,
의창구,7.2,6.9,7,7.3,7.3,6.9,6.9,6.9,7,6.9,7.1,6.9,7.1,7,6.9,6.6,6.2,6,6,6,6,5.6,5.8,6,5.7,5.5,5.6,5.6,5.6,5.6,5.7,5.8,5.5,5.6,5.6,5.6,5.5,5.4,5.3,5.2,5.2,5.3,5.5,5.3,5.5,5.3,4.9,4.8,4.8,4.8,
성산구,6.7,6.4,6.3,6.4,6.5,6.5,6.3,6.4,6.4,6.3,6.3,6.1,6.1,6,6,6,6,6,6,6,6,6,6,6,6,5.8,5.7,5.7,5.5,5.5,5.6,5.5,5.4,5.4,5.3,5.4,5.2,5,5.1,5,5,5,5,4.9,4.9,5,5,4.9,5,4.8,
마산합포구,6.9,7.4,7.2,6.9,6.9,7.2,8,7.8,7.8,8,7.8,7.4,7.4,6.9,7.4,7,7,7.8,7.2,6.6,6.7,6.9,6.5,6.6,6.3,6,6.2,6.2,6,6,6,6,6.5,7.2,6.7,6.4,6.3,6,6,6,6,6,5.9,6,6,6,5.6,5.5,5.5,5.5,
마산회원구,7.3,7.4,7.4,7.1,6.9,7,6.9,6.9,6.6,6.9,6.9,6.9,7.2,7,7.2,7.1,7.2,7.2,7.2,7.2,7.1,7,6.7,6.6,6.3,6.5,6.2,6,6,6,6,6,6,6.5,6,6,6,6,6,5.8,5.5,5.3,5.4,5.1,5.1,5.3,5.6,6,6,5.7,
진해구,6.8,6.7,6.9,6.9,6.9,6.4,6.3,6.5,6.4,6.4,6.4,6.2,6.2,6.4,6.4,6.5,6.4,6.5,6.5,6.5,6.5,5.6,5.9,6,6,6,6,6,6,6,5.6,5.5,5.5,5.5,5.3,5.3,5.3,5.3,5.4,5.5,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,
진주시,8,7.8,7.7,8,8,7.8,8,7.8,7.8,7.4,7.3,7.4,7.4,7.1,7,7.2,7.2,7.4,7.4,7.6,7.5,7.4,7.2,7.1,6.9,6.7,6.5,6.5,6,6,6,6,6,6,6.3,6.4,6,5.5,5.5,5.5,5.4,5.3,5.3,5.3,5.4,5.7,5.4,5.3,5.3,5,
통영시,9.3,9,8.4,8.9,8.4,8.4,8.5,8.4,8.4,8.5,8.6,8.8,8.2,8.4,8.4,8.4,8,7.7,7.2,7.2,7.6,7.4,7.2,7.2,7.5,7.2,7.4,7.4,7.5,7.5,7,7.2,7.2,6.8,6.7,6.3,6.5,6,6.1,6.9,6.9,6.8,6,6.7,6.7,6.7,6,6.2,6.2,6.6,
사천시,7.5,7.6,8,8.6,9,8,8,8,8,8,8,8.1,8.3,8.1,8.1,8.1,8.1,8.8,8.7,8.7,8.1,8,8.1,7.6,6.8,7,7.9,7.9,7.5,7.9,7.9,8.3,7.6,7.3,7.4,7,7,7.2,6.9,7.2,6.6,7,6.9,6.5,6.3,6.1,6.4,5.8,6,5.6,
김해시,7.3,7.3,7.2,7,7.2,7.2,7.2,7.1,7.1,7,7,7,6.7,6.9,6.8,6.8,6.8,6.6,6.7,6.6,6.5,6.6,6.4,6.3,6.1,6.1,6.1,6,6,6,6,6,5.9,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5.1,5.1,5,5,5,5,4.9,
거제시,9.2,9.1,9.4,9,9,8.7,9,9.2,9.2,9,9.4,9.4,9.6,9.6,9.6,9.6,9.1,8.6,9,8.4,8.2,8.4,8.3,8.3,8.1,7.6,8.5,8.2,8,8,8,7.7,7.6,7.5,7.4,7.3,7.3,7.4,7.2,7.7,7.4,7.2,6.8,6.8,6.6,6.4,6.3,6.4,6.5,6.6,
양산시,7.6,7.7,7.5,7.6,7.5,7.5,7.5,7.5,7.3,7.2,7.1,7,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7,6.9,6.9,6.9,7,6.8,6.7,6.7,6.7,6.5,6.5,6.6,6.5,6.4,6.2,6.3,6.2,6,6,6,6,6,6,5.9,6,6,6,6,5.5,5.4,5.4,
제주,8,7.8,7.8,7.7,7.9,7.8,8.1,8.1,7.6,7.5,7.5,7.5,7.2,7.1,6.9,6.7,6.8,6.6,6.7,8.2,7.1,7.2,7.2,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.2,7.2,6.7,6.1,5.8,5.6,5.5,5.3,5.2,5.2,5.2,5.2,5.3,5,5.3,5,
제주시,7.9,7.5,7.5,7.3,7.6,7.4,7.3,7,7,6.9,7.4,7.4,7.1,7.2,7.1,7.2,7.2,7.1,7.2,7.1,6.8,7.2,7.2,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.2,7.2,7.3,7.2,6.5,6.1,5.9,5.6,5.3,5.2,5.2,5.2,5.1,5,5,5.6,5,
