,location,location_detail,price
서울특별시,강동구,성내동,2995
서울특별시,강동구,천호동,2842
서울특별시,종로구,청운동,2478
서울특별시,종로구,신교동,Err:509
서울특별시,종로구,궁정동,2833
서울특별시,종로구,효자동,2427
서울특별시,종로구,창성동,2931
서울특별시,종로구,통의동,2700
서울특별시,종로구,적선동, - 
서울특별시,종로구,통인동,2662
서울특별시,종로구,누상동,2462
서울특별시,종로구,누하동,3017
서울특별시,종로구,옥인동,2693
서울특별시,종로구,체부동,3084
서울특별시,종로구,필운동,3106
서울특별시,종로구,내자동,4520
서울특별시,종로구,사직동,3016
서울특별시,종로구,도렴동,0
서울특별시,종로구,당주동,0
서울특별시,종로구,내수동,10600
서울특별시,종로구,세종로,0
서울특별시,종로구,신문로1가, - 
서울특별시,종로구,신문로2가,3709
서울특별시,종로구,청진동,0
서울특별시,종로구,서린동,0
서울특별시,종로구,수송동,0
서울특별시,종로구,중학동,0
서울특별시,종로구,종로1가,0
서울특별시,종로구,공평동,0
서울특별시,종로구,관훈동,0
서울특별시,종로구,견지동,0
서울특별시,종로구,와룡동,2418
서울특별시,종로구,권농동,2225
서울특별시,종로구,운니동,2658
서울특별시,종로구,익선동,3391
서울특별시,종로구,경운동,3085
서울특별시,종로구,관철동,0
서울특별시,종로구,인사동,0
서울특별시,종로구,낙원동,3025
서울특별시,종로구,종로2가,0
서울특별시,종로구,팔판동,3534
서울특별시,종로구,삼청동,2786
서울특별시,종로구,안국동,4110
서울특별시,종로구,소격동,3808
서울특별시,종로구,화동,3394
서울특별시,종로구,사간동,3100
서울특별시,종로구,송현동,0
서울특별시,종로구,가회동,3365
서울특별시,종로구,재동,3940
서울특별시,종로구,계동,2920
서울특별시,종로구,원서동,2719
서울특별시,종로구,묘동,0
서울특별시,종로구,봉익동,2650
서울특별시,종로구,돈의동,3332
서울특별시,종로구,장사동,0
서울특별시,종로구,관수동,0
서울특별시,종로구,종로3가,0
서울특별시,종로구,인의동,2235
서울특별시,종로구,예지동,0
서울특별시,종로구,원남동,2177
서울특별시,종로구,연지동,2256
서울특별시,종로구,종로4가,0
서울특별시,종로구,효제동,2843
서울특별시,종로구,종로5가,4610
서울특별시,종로구,종로6가,2830
서울특별시,종로구,이화동,2303
서울특별시,종로구,연건동,2440
서울특별시,종로구,충신동,2428
서울특별시,종로구,동숭동,2519
서울특별시,종로구,혜화동,2370
서울특별시,종로구,명륜1가,2317
서울특별시,종로구,명륜2가,2458
서울특별시,종로구,명륜4가,3148
서울특별시,종로구,명륜3가,1822
서울특별시,종로구,창신동,2397
서울특별시,종로구,숭인동,2453
서울특별시,종로구,교남동,4750
서울특별시,종로구,평동,3918
서울특별시,종로구,송월동,3806
서울특별시,종로구,홍파동,3406
서울특별시,종로구,교북동,4060
서울특별시,종로구,행촌동,2148
서울특별시,종로구,구기동,1570
서울특별시,종로구,평창동,1833
서울특별시,종로구,부암동,1412
서울특별시,종로구,홍지동,1485
서울특별시,종로구,신영동,1615
서울특별시,종로구,무악동,2846
서울특별시,중구,무교동,0
서울특별시,중구,다동,0
서울특별시,중구,태평로1가,0
서울특별시,중구,을지로1가,0
서울특별시,중구,을지로2가,0
서울특별시,중구,남대문로1가,0
서울특별시,중구,삼각동,0
서울특별시,중구,수하동,0
서울특별시,중구,장교동,0
서울특별시,중구,수표동,0
서울특별시,중구,소공동,0
서울특별시,중구,남창동,1944
서울특별시,중구,북창동,0
서울특별시,중구,태평로2가,0
서울특별시,중구,남대문로2가,0
서울특별시,중구,남대문로3가,0
서울특별시,중구,남대문로4가,0
서울특별시,중구,남대문로5가,0
서울특별시,중구,봉래동1가,0
서울특별시,중구,회현동1가,2203
서울특별시,중구,회현동2가,1947
서울특별시,중구,회현동3가,1960
서울특별시,중구,충무로1가,0
서울특별시,중구,충무로2가,0
서울특별시,중구,명동1가,0
서울특별시,중구,명동2가,0
서울특별시,중구,남산동1가,2230
서울특별시,중구,남산동2가,1762
서울특별시,중구,남산동3가,1850
서울특별시,중구,저동1가,0
서울특별시,중구,충무로4가,0
서울특별시,중구,충무로5가,0
서울특별시,중구,인현동2가,0
서울특별시,중구,예관동,0
서울특별시,중구,묵정동,2947
서울특별시,중구,필동1가,3325
서울특별시,중구,필동2가,3041
서울특별시,중구,필동3가,2812
서울특별시,중구,남학동,0
