,,location,표준공시지가,토지거래현황,주택거래현황,date,gdp,연평균임금,소비자물가(식료품),소비자물가(주거비),대미환률,코스피(한국주가),니케이(일본주가),다우존스(미국주가),상하이(중국주가),FTSE(영국주가),FTSE_EURO(유로),DAX(독일주가),원유(두바이),원유(Brent),원유(WTI),주택자금대출규모,한은기준금리,"소비자물가:에너지(연료,전기,가솔린)"
서울특별시,종로구,연건동,2408 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,충신동,2376 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,동숭동,2488 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,혜화동,2336 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,명륜1가,2288 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,명륜2가,2474 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,명륜4가,3037 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,명륜3가,1814 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,창신동,2330 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,숭인동,2417 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,교남동,4690 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,평동,3862 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,송월동,3753 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,홍파동,3363 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,교북동,3970 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,행촌동,2118 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,구기동,1549 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,평창동,1808 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,부암동,1391 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,홍지동,1465 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,신영동,1598 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,무악동,2806 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,무교동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,다동,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,중구,태평로1가,0 ,6656,2317,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
